irrelevant,irrelevant,irrelevant,irrelevant,numerical_features,numerical_features,technician_latitude,technician_longitude,site_latitude,site_longitude,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,target_column,categorical_features,categorical_features,categorical_features,categorical_features
wrbr570700916,11-Oct-26,TECH1290,Lisa Nguyen,32,4.1,13.086438,80.220672,13.136439,80.270672,Electrical Repair,Medium Priority,Ventilation System,Stormy,Jam ,Metropolitian ,0.566666667,Grocery,Customer Complaint ,Trane,CenTraVac
wzvs619072447,12-Oct-26,TECH1291,Carlos Rivera,25,4.7,26.846156,75.8023,26.956156,75.9123,Plumbing Maintenance,High Priority,Rooftop AC,Stormy,Jam ,Metropolitian ,1.666666667,Outdoors,Automated System Alert ,Lennox,Energence Ultra
oini183602327,13-Oct-26,TECH1292,Emma Brown,30,5,21.157729,72.768726,21.197729,72.808726,Boiler Servicing,Urgent Priority,Asset  type,Fog,High ,Metropolitian ,2.333333333,Jewelry,Compliance Audit ,Daikin,VRV IV
elrp114539975,14-Oct-26,TECH1293,Vikram Singh,25,4.8,12.939496,77.625999,13.069496,77.755999,Refrigeration System Repair,Low Priority,Air Conditioner,Fog,Medium ,Metropolitian ,2.5,Books,Routine Inspection,York,Affinity YXV
fvoq332072223,15-Oct-26,TECH1294,Robert Taylor,26,4.7,11.008638,76.984311,11.098638,77.074311,HVAC Maintenance,Medium Priority,Chiller Unit,Stormy,Low ,Metropolitian ,1.166666667,Skincare,Scheduled Maintenance ,Carrier,AquaEdge 23XR
kemd906602818,16-Oct-26,TECH1295,Lisa Nguyen,30,4.6,11.022477,76.995667,11.062477,77.035667,Electrical Repair,High Priority,Heat Pump,Windy,High ,Urban ,2.5,Sports,Customer Complaint ,Trane,CenTraVac
kqmi499374214,17-Oct-26,TECH1296,Carlos Rivera,31,4.3,27.160934,78.044095,27.180934,78.064095,Plumbing Maintenance,Urgent Priority,Ventilation System,Windy,Low ,Metropolitian ,2.083333333,Apparel,Automated System Alert ,Lennox,Energence Ultra
qdqs225203666,18-Oct-26,TECH1297,Emma Brown,33,4.8,22.725748,75.898497,22.805747,75.978497,Boiler Servicing,Low Priority,Rooftop AC,Sunny,Low ,Metropolitian ,2.333333333,Kitchen,Compliance Audit ,Daikin,VRV IV
ztel491150706,19-Oct-26,TECH1298,Vikram Singh,20,5,19.131141,72.813074,19.19114,72.873074,Refrigeration System Repair,Medium Priority,Asset  type,Sunny,Low ,Metropolitian ,1.416666667,Kitchen,Routine Inspection,York,Affinity YXV
sfok287655638,20-Oct-26,TECH1299,Robert Taylor,36,4.3,12.323225,76.630028,12.453225,76.760028,HVAC Maintenance,High Priority,Air Conditioner,Windy,Jam ,Urban ,2.75,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
rbvw350017323,21-Oct-26,TECH1300,Lisa Nguyen,20,4.9,18.51421,73.838429,18.60421,73.928429,Electrical Repair,Urgent Priority,Chiller Unit,Sandstorms,Medium ,Metropolitian ,3,Books,Customer Complaint ,Trane,CenTraVac
evfg719847858,22-Oct-26,TECH1301,Carlos Rivera,38,4.1,0,0,0.09,0.09,Plumbing Maintenance,Low Priority,Heat Pump,Sandstorms,Jam ,Metropolitian ,3.166666667,Sports,Automated System Alert ,Lennox,Energence Ultra
kcdr224504524,23-Oct-26,TECH1302,Emma Brown,37,4.7,22.31279,73.170283,22.37279,73.230283,Boiler Servicing,Medium Priority,Ventilation System,Cloudy,Jam ,Metropolitian ,2.083333333,Clothing,Compliance Audit ,Daikin,VRV IV
nuxp187566978,24-Oct-26,TECH1303,Vikram Singh,28,5,26.905287,75.794592,27.015287,75.904592,Refrigeration System Repair,High Priority,Rooftop AC,Fog,Jam ,Metropolitian ,3.333333333,Electronics,Routine Inspection,York,Affinity YXV
ervj934596417,25-Oct-26,TECH1304,Robert Taylor,39,3.5,12.975377,77.696664,13.055377,77.776664,HVAC Maintenance,Urgent Priority,Asset  type,Cloudy,Low ,Urban ,2.666666667,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
kqnb541413741,26-Oct-26,TECH1305,Lisa Nguyen,31,4,17.422819,78.449578,17.502819,78.529578,Electrical Repair,Low Priority,Air Conditioner,Cloudy,Jam ,Metropolitian ,3.5,Clothing,Customer Complaint ,Trane,CenTraVac
oric826953147,27-Oct-26,TECH1306,Carlos Rivera,30,4.9,17.45971,78.368855,17.50971,78.418855,Plumbing Maintenance,Medium Priority,Chiller Unit,Sunny,Low ,Urban ,2.25,Electronics,Automated System Alert ,Lennox,Energence Ultra
urec609350393,28-Oct-26,TECH1307,Emma Brown,27,4.9,22.526461,88.364453,22.616461,88.454453,Boiler Servicing,High Priority,Heat Pump,Sandstorms,Jam ,Metropolitian ,2.083333333,Home,Compliance Audit ,Daikin,VRV IV
ovti492712870,29-Oct-26,TECH1308,Vikram Singh,30,4.9,18.533811,73.899315,18.583811,73.949315,Refrigeration System Repair,Urgent Priority,Ventilation System,Sandstorms,Low ,Metropolitian ,2,Jewelry,Routine Inspection,York,Affinity YXV
brfo817641389,30-Oct-26,TECH1309,Robert Taylor,29,4.5,12.906229,77.596791,13.036229,77.726791,HVAC Maintenance,Low Priority,Rooftop AC,Cloudy,Jam ,Urban ,2.5,Jewelry,Scheduled Maintenance ,Carrier,AquaEdge 23XR
pbsp176319059,31-Oct-26,TECH1310,Lisa Nguyen,35,4.5,27.163303,78.057044,27.293303,78.187044,Electrical Repair,Medium Priority,Asset  type,Windy,Low ,Metropolitian ,1.833333333,Clothing,Customer Complaint ,Trane,CenTraVac
kfjw636000221,1-Nov-26,TECH1311,Carlos Rivera,34,4.9,22.695207,75.866059,22.715207,75.886059,Plumbing Maintenance,High Priority,Air Conditioner,Windy,High ,Metropolitian ,2.583333333,Sports,Automated System Alert ,Lennox,Energence Ultra
szso398384860,2-Nov-26,TECH1312,Emma Brown,37,4.8,11.026117,76.944652,11.106117,77.024652,Boiler Servicing,Urgent Priority,Chiller Unit,Stormy,Low ,Metropolitian ,1.333333333,Kitchen,Compliance Audit ,Daikin,VRV IV
pjbh964684827,3-Nov-26,TECH1313,Vikram Singh,34,4.9,26.910262,75.783013,26.940262,75.813013,Refrigeration System Repair,Low Priority,Heat Pump,Sunny,Jam ,Metropolitian ,2.083333333,Apparel,Routine Inspection,York,Affinity YXV
oaew463729559,4-Nov-26,TECH1314,Robert Taylor,31,4.9,0,0,0.02,0.02,HVAC Maintenance,Medium Priority,Ventilation System,Cloudy,Low ,Metropolitian ,0.266666667,Grocery,Scheduled Maintenance ,Carrier,AquaEdge 23XR
dhru296264034,5-Nov-26,TECH1315,Lisa Nguyen,23,4.1,17.440827,78.393391,17.500827,78.453391,Electrical Repair,High Priority,Rooftop AC,Fog,Jam ,Metropolitian ,2.666666667,Outdoors,Customer Complaint ,Trane,CenTraVac
jrdt044319812,6-Nov-26,TECH1316,Carlos Rivera,29,4.7,22.727021,75.884167,22.777021,75.934167,Plumbing Maintenance,Urgent Priority,Asset  type,Sunny,Medium ,Metropolitian ,1.666666667,Home,Automated System Alert ,Lennox,Energence Ultra
aefs889604846,7-Nov-26,TECH1317,Emma Brown,20,4.9,0,0,0.02,0.02,Boiler Servicing,Low Priority,Air Conditioner,Stormy,Low ,Urban ,0.916666667,Toys,Compliance Audit ,Daikin,VRV IV
aozl672518026,8-Nov-26,TECH1318,Vikram Singh,26,4.1,18.569156,73.774723,18.629156,73.834723,Refrigeration System Repair,Medium Priority,Chiller Unit,Sandstorms,Low ,Urban ,1.75,Jewelry,Routine Inspection,York,Affinity YXV
fmmu732691037,9-Nov-26,TECH1319,Robert Taylor,34,4.5,0,0,0.08,0.08,HVAC Maintenance,High Priority,Heat Pump,Cloudy,Jam ,Urban ,3.666666667,Books,Scheduled Maintenance ,Carrier,AquaEdge 23XR
cmnr733682904,10-Nov-26,TECH1320,Lisa Nguyen,34,4.9,19.875522,75.367127,19.925522,75.417127,Electrical Repair,Urgent Priority,Ventilation System,Fog,Low ,Metropolitian ,1.583333333,Shoes,Customer Complaint ,Trane,CenTraVac
velf920731059,11-Nov-26,TECH1321,Carlos Rivera,21,4.7,18.593481,73.785901,18.623481,73.815901,Plumbing Maintenance,Low Priority,Rooftop AC,Stormy,Jam ,Metropolitian ,0.916666667,Home,Automated System Alert ,Lennox,Energence Ultra
grsq278292648,12-Nov-26,TECH1322,Emma Brown,35,4.6,11.003008,76.97544,11.073009,77.04544,Boiler Servicing,Medium Priority,Asset  type,Windy,Low ,Urban ,1.916666667,Outdoors,Compliance Audit ,Daikin,VRV IV
rqha328591539,13-Nov-26,TECH1323,Vikram Singh,20,4.7,26.914142,75.805704,27.024142,75.915704,Refrigeration System Repair,High Priority,Air Conditioner,Stormy,Low ,Metropolitian ,1,Kitchen,Routine Inspection,York,Affinity YXV
rhpv487359562,14-Nov-26,TECH1324,Robert Taylor,24,4.1,19.103249,72.846749,19.233249,72.976749,HVAC Maintenance,Urgent Priority,Chiller Unit,Cloudy,Jam ,Metropolitian ,3.25,Outdoors,Scheduled Maintenance ,Carrier,AquaEdge 23XR
aokn153705465,15-Nov-26,TECH1325,Lisa Nguyen,25,4.5,12.939496,77.625999,12.979496,77.665999,Electrical Repair,Low Priority,Heat Pump,Windy,High ,Urban ,1.333333333,Books,Customer Complaint ,Trane,CenTraVac
tnxr721054246,16-Nov-26,TECH1326,Carlos Rivera,22,4.8,19.055831,72.833984,19.085831,72.863984,Plumbing Maintenance,Medium Priority,Ventilation System,Cloudy,Low ,Urban ,1.416666667,Cosmetics,Automated System Alert ,Lennox,Energence Ultra
sxnc962329653,17-Nov-26,TECH1327,Emma Brown,38,4.7,23.416792,85.316842,23.506792,85.406842,Boiler Servicing,High Priority,Rooftop AC,Windy,Medium ,Urban ,2,Sports,Compliance Audit ,Daikin,VRV IV
hsbp920939915,18-Nov-26,TECH1328,Vikram Singh,29,4.3,12.934365,77.616155,12.974365,77.656155,Refrigeration System Repair,Urgent Priority,Asset  type,Cloudy,High ,Urban ,2.75,Home,Routine Inspection,York,Affinity YXV
mbhl763139783,19-Nov-26,TECH1329,Robert Taylor,24,4.8,12.906229,77.596791,13.016229,77.706791,HVAC Maintenance,Low Priority,Air Conditioner,Sandstorms,Medium ,Urban ,2.416666667,Pet Supplies,Scheduled Maintenance ,Carrier,AquaEdge 23XR
dqml870257443,20-Nov-26,TECH1330,Lisa Nguyen,36,4.8,30.359722,78.067079,30.499722,78.207079,Electrical Repair,Medium Priority,Chiller Unit,Fog,Medium ,Metropolitian ,0.7,Grocery,Customer Complaint ,Trane,CenTraVac
oipo304682095,21-Nov-26,TECH1331,Carlos Rivera,31,4.7,26.956431,75.776649,27.006431,75.826649,Plumbing Maintenance,High Priority,Heat Pump,Windy,Low ,Metropolitian ,2.333333333,Shoes,Automated System Alert ,Lennox,Energence Ultra
npqc426335347,22-Nov-26,TECH1332,Emma Brown,20,4.8,12.334022,76.618203,12.364022,76.648203,Boiler Servicing,Urgent Priority,Ventilation System,Fog,Jam ,Metropolitian ,2.083333333,Kitchen,Compliance Audit ,Daikin,VRV IV
kbcb187418479,23-Nov-26,TECH1333,Vikram Singh,25,4.6,23.214294,77.435361,23.264294,77.485361,Refrigeration System Repair,Low Priority,Rooftop AC,Sunny,Medium ,Metropolitian ,1.333333333,Outdoors,Routine Inspection,York,Affinity YXV
nvss305715416,24-Nov-26,TECH1334,Robert Taylor,23,5,12.914264,77.6784,13.024264,77.7884,HVAC Maintenance,Medium Priority,Asset  type,Sandstorms,Low ,Urban ,0.183333333,Grocery,Scheduled Maintenance ,Carrier,AquaEdge 23XR
nfbo612860913,25-Nov-26,TECH1335,Lisa Nguyen,39,4.7,26.956431,75.776649,27.006431,75.826649,Electrical Repair,High Priority,Air Conditioner,Cloudy,Medium ,Urban ,2.833333333,Home,Customer Complaint ,Trane,CenTraVac
bvje827756058,26-Nov-26,TECH1336,Carlos Rivera,21,4.7,12.326356,76.619103,12.436356,76.729103,Plumbing Maintenance,Urgent Priority,Chiller Unit,Cloudy,Medium ,Metropolitian ,2.916666667,Home,Automated System Alert ,Lennox,Energence Ultra
tmra080782884,27-Nov-26,TECH1337,Emma Brown,32,4.7,22.725835,75.887648,22.765835,75.927648,Boiler Servicing,Low Priority,Heat Pump,Stormy,Medium ,Metropolitian ,2.083333333,Sports,Compliance Audit ,Daikin,VRV IV
gtmc763426867,28-Nov-26,TECH1338,Vikram Singh,36,4.9,23.359194,85.325447,23.489194,85.455447,Refrigeration System Repair,Medium Priority,Ventilation System,Sunny,Jam ,Metropolitian ,1.25,Skincare,Routine Inspection,York,Affinity YXV
kjln790080169,29-Nov-26,TECH1339,Robert Taylor,38,4.8,11.006686,76.951736,11.076686,77.021736,HVAC Maintenance,High Priority,Rooftop AC,Cloudy,Jam ,Metropolitian ,4.083333333,Pet Supplies,Scheduled Maintenance ,Carrier,AquaEdge 23XR
gqyt412008922,30-Nov-26,TECH1340,Lisa Nguyen,34,4.3,12.934179,77.615797,13.044179,77.725797,Electrical Repair,Urgent Priority,Asset  type,Sandstorms,Medium ,Metropolitian ,2.916666667,Sports,Customer Complaint ,Trane,CenTraVac
hojh303673874,1-Dec-26,TECH1341,Carlos Rivera,23,2.5,21.173493,72.801953,21.283493,72.911953,Plumbing Maintenance,Low Priority,Air Conditioner,Sunny,Low ,Metropolitian ,2.833333333,Skincare,Automated System Alert ,Lennox,Energence Ultra
uowo219202183,2-Dec-26,TECH1342,Emma Brown,32,3.6,12.311072,76.654878,12.441072,76.784878,Boiler Servicing,Medium Priority,Chiller Unit,Stormy,Jam ,Urban ,3.25,Sports,Compliance Audit ,Daikin,VRV IV
laly052364040,3-Dec-26,TECH1343,Vikram Singh,31,4.8,13.029198,77.570997,13.039198,77.580997,Refrigeration System Repair,High Priority,Heat Pump,Fog,Low ,Metropolitian ,0.433333333,Grocery,Routine Inspection,York,Affinity YXV
seue774035229,4-Dec-26,TECH1344,Robert Taylor,22,4.6,12.334022,76.618203,12.414022,76.698203,HVAC Maintenance,Urgent Priority,Ventilation System,Sunny,Jam ,Metropolitian ,0.916666667,Kitchen,Scheduled Maintenance ,Carrier,AquaEdge 23XR
hpfx282951824,5-Dec-26,TECH1345,Lisa Nguyen,34,3.9,12.323225,76.630028,12.403225,76.710028,Electrical Repair,Low Priority,Rooftop AC,Cloudy,Low ,Metropolitian ,2.75,Cosmetics,Customer Complaint ,Trane,CenTraVac
kwac459258247,6-Dec-26,TECH1346,Carlos Rivera,39,4.8,23.371292,85.327872,23.501292,85.457872,Plumbing Maintenance,Medium Priority,Asset  type,Cloudy,Jam ,Metropolitian ,3.916666667,Clothing,Automated System Alert ,Lennox,Energence Ultra
drnq455410643,7-Dec-26,TECH1347,Emma Brown,21,5,26.766536,75.837333,26.846536,75.917333,Boiler Servicing,High Priority,Air Conditioner,Cloudy,Low ,Metropolitian ,2.083333333,Outdoors,Compliance Audit ,Daikin,VRV IV
cpai239579459,8-Dec-26,TECH1348,Vikram Singh,34,3.9,17.41233,78.449654,17.50233,78.539654,Refrigeration System Repair,Urgent Priority,Chiller Unit,Fog,Low ,Metropolitian ,3.083333333,Skincare,Routine Inspection,York,Affinity YXV
vjqj497482999,9-Dec-26,TECH1349,Robert Taylor,28,4.9,13.086438,80.220672,13.166438,80.300672,HVAC Maintenance,Low Priority,Heat Pump,Windy,Medium ,Metropolitian ,1.25,Pet Supplies,Scheduled Maintenance ,Carrier,AquaEdge 23XR
ikqm848453901,10-Dec-26,TECH1350,Lisa Nguyen,34,4.9,21.149834,72.778666,21.159834,72.788666,Electrical Repair,Medium Priority,Ventilation System,Windy,Low ,Metropolitian ,1.666666667,Snacks,Customer Complaint ,Trane,CenTraVac
escq078763525,11-Dec-26,TECH1351,Carlos Rivera,21,4.7,12.970221,77.645396,13.100221,77.775396,Plumbing Maintenance,High Priority,Rooftop AC,Sandstorms,Jam ,Metropolitian ,2.416666667,Electronics,Automated System Alert ,Lennox,Energence Ultra
llgk631278832,12-Dec-26,TECH1352,Emma Brown,30,4.6,22.753659,75.903365,22.773659,75.923365,Boiler Servicing,Urgent Priority,Asset  type,Fog,High ,Urban ,2.5,Shoes,Compliance Audit ,Daikin,VRV IV
qpgp954149325,13-Dec-26,TECH1353,Vikram Singh,36,5,11.003669,76.976494,11.063669,77.036494,Refrigeration System Repair,Low Priority,Air Conditioner,Fog,Low ,Urban ,1.333333333,Apparel,Routine Inspection,York,Affinity YXV
qhmc638167529,14-Dec-26,TECH1354,Robert Taylor,25,4.5,18.636215,73.751081,18.646215,73.761081,HVAC Maintenance,Medium Priority,Chiller Unit,Cloudy,Low ,Urban ,2,Snacks,Scheduled Maintenance ,Carrier,AquaEdge 23XR
qthn147451965,15-Dec-26,TECH1355,Lisa Nguyen,38,4.3,12.933298,77.614293,13.043298,77.724293,Electrical Repair,High Priority,Heat Pump,Sunny,Jam ,Metropolitian ,2.583333333,Kitchen,Customer Complaint ,Trane,CenTraVac
sfpc015585430,16-Dec-26,TECH1356,Carlos Rivera,24,5,19.120083,72.907385,19.160083,72.947385,Plumbing Maintenance,Urgent Priority,Ventilation System,Sunny,High ,Urban ,1,Toys,Automated System Alert ,Lennox,Energence Ultra
hllu627872258,17-Dec-26,TECH1357,Emma Brown,31,4,0,0,0.06,0.06,Boiler Servicing,Low Priority,Rooftop AC,Sandstorms,Medium ,Metropolitian ,2.833333333,Kitchen,Compliance Audit ,Daikin,VRV IV
wrjr749227681,18-Dec-26,TECH1358,Vikram Singh,31,4.7,22.311603,73.165012,22.391603,73.245012,Refrigeration System Repair,Medium Priority,Asset  type,Sunny,Medium ,Metropolitian ,2.416666667,Kitchen,Routine Inspection,York,Affinity YXV
xzrl716784548,19-Dec-26,TECH1359,Robert Taylor,27,4.6,17.431477,78.40035,17.501477,78.47035,HVAC Maintenance,High Priority,Air Conditioner,Sunny,Jam ,Metropolitian ,1.083333333,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
mmbt765343357,20-Dec-26,TECH1360,Lisa Nguyen,23,4.8,12.979166,77.640709,12.999166,77.660709,Electrical Repair,Urgent Priority,Chiller Unit,Fog,Low ,Urban ,0.916666667,Apparel,Customer Complaint ,Trane,CenTraVac
zayq005312106,21-Dec-26,TECH1361,Carlos Rivera,25,4.7,12.933298,77.614293,13.063298,77.744293,Plumbing Maintenance,Low Priority,Heat Pump,Sandstorms,Medium ,Urban ,1.916666667,Shoes,Automated System Alert ,Lennox,Energence Ultra
icjn893090853,22-Dec-26,TECH1362,Emma Brown,38,4.5,22.722634,75.886959,22.732634,75.896959,Boiler Servicing,Medium Priority,Ventilation System,Windy,Low ,Metropolitian ,2,Books,Compliance Audit ,Daikin,VRV IV
jwef100439998,23-Dec-26,TECH1363,Vikram Singh,32,4.8,11.025083,77.015393,11.105083,77.095393,Refrigeration System Repair,High Priority,Rooftop AC,Sunny,Medium ,Urban ,2.166666667,Outdoors,Routine Inspection,York,Affinity YXV
iray690328025,24-Dec-26,TECH1364,Robert Taylor,22,4.3,26.849596,75.800512,26.919596,75.870512,HVAC Maintenance,Urgent Priority,Asset  type,Stormy,Jam ,Metropolitian ,3,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
kdbz058571456,25-Dec-26,TECH1365,Lisa Nguyen,35,4.9,22.31279,73.170283,22.34279,73.200283,Electrical Repair,Low Priority,Air Conditioner,Sandstorms,Jam ,Metropolitian ,2.583333333,Shoes,Customer Complaint ,Trane,CenTraVac
qbnx455660626,26-Dec-26,TECH1366,Carlos Rivera,35,4.1,12.310972,76.659264,12.420972,76.769264,Plumbing Maintenance,Medium Priority,Chiller Unit,Sandstorms,Medium ,Metropolitian ,3.833333333,Home,Automated System Alert ,Lennox,Energence Ultra
eibc335635387,27-Dec-26,TECH1367,Emma Brown,34,4.8,0,0,0.06,0.06,Boiler Servicing,High Priority,Heat Pump,Sunny,Medium ,Metropolitian ,1.5,Toys,Compliance Audit ,Daikin,VRV IV
kxcm483694128,28-Dec-26,TECH1368,Vikram Singh,22,3.5,18.516216,73.842527,18.586216,73.912527,Refrigeration System Repair,Urgent Priority,Ventilation System,Sunny,Low ,Metropolitian ,2.75,Kitchen,Routine Inspection,York,Affinity YXV
lyqs160626048,29-Dec-26,TECH1369,Robert Taylor,28,4.9,12.970221,77.645396,13.020221,77.695396,HVAC Maintenance,Low Priority,Rooftop AC,Stormy,Medium ,Metropolitian ,2,Books,Scheduled Maintenance ,Carrier,AquaEdge 23XR
sqpt381009382,30-Dec-26,TECH1370,Lisa Nguyen,35,3.6,23.371292,85.327872,23.441292,85.397872,Electrical Repair,Medium Priority,Asset  type,Fog,Low ,Urban ,2.833333333,Toys,Customer Complaint ,Trane,CenTraVac
kzec642267375,31-Dec-26,TECH1371,Carlos Rivera,38,4.8,23.234249,77.434007,23.294249,77.494007,Plumbing Maintenance,High Priority,Air Conditioner,Fog,Low ,Urban ,1.416666667,Sports,Automated System Alert ,Lennox,Energence Ultra
fjsy457667101,1-Jan-27,TECH1372,Emma Brown,31,5,19.131141,72.813074,19.19114,72.873074,Boiler Servicing,Urgent Priority,Chiller Unit,Fog,Low ,Metropolitian ,2.333333333,Pet Supplies,Compliance Audit ,Daikin,VRV IV
qcyn693653025,2-Jan-27,TECH1373,Vikram Singh,26,5,25.457116,81.859682,25.487116,81.889682,Refrigeration System Repair,Low Priority,Heat Pump,Cloudy,Low ,Metropolitian ,0.833333333,Electronics,Routine Inspection,York,Affinity YXV
zxza102160001,3-Jan-27,TECH1374,Robert Taylor,36,4.4,13.029198,77.570997,13.139198,77.680997,HVAC Maintenance,Medium Priority,Ventilation System,Cloudy,Medium ,Urban ,2.583333333,Pet Supplies,Scheduled Maintenance ,Carrier,AquaEdge 23XR
xdus014073429,4-Jan-27,TECH1375,Lisa Nguyen,26,4.6,11.022298,76.998349,11.052298,77.028349,Electrical Repair,High Priority,Rooftop AC,Stormy,Jam ,Metropolitian ,2.666666667,Books,Customer Complaint ,Trane,CenTraVac
kdoi450584961,5-Jan-27,TECH1376,Carlos Rivera,38,4.1,30.89286,75.822199,31.03286,75.962199,Plumbing Maintenance,Urgent Priority,Asset  type,Fog,Jam ,Other,3.416666667,Snacks,Automated System Alert ,Lennox,Energence Ultra
ikkh818371440,6-Jan-27,TECH1377,Emma Brown,25,4.3,26.913483,75.803139,27.003483,75.893139,Boiler Servicing,Low Priority,Air Conditioner,Cloudy,Medium ,Metropolitian ,3.083333333,Cosmetics,Compliance Audit ,Daikin,VRV IV
nqfm352762141,7-Jan-27,TECH1378,Vikram Singh,25,5,12.98041,77.640489,12.99041,77.650489,Refrigeration System Repair,Medium Priority,Chiller Unit,Cloudy,High ,Urban ,2.666666667,Skincare,Routine Inspection,York,Affinity YXV
jhfa779664836,8-Jan-27,TECH1379,Robert Taylor,30,4.7,0,0,0.08,0.08,HVAC Maintenance,High Priority,Heat Pump,Sandstorms,Medium ,Urban ,2,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
xbxn200447293,9-Jan-27,TECH1380,Lisa Nguyen,33,4.2,13.044694,80.26147,13.064694,80.28147,Electrical Repair,Urgent Priority,Ventilation System,Cloudy,High ,Metropolitian ,3.25,Kitchen,Customer Complaint ,Trane,CenTraVac
necv303251571,10-Jan-27,TECH1381,Carlos Rivera,39,4.9,11.022477,76.995667,11.102477,77.075667,Plumbing Maintenance,Low Priority,Rooftop AC,Stormy,Medium ,Metropolitian ,2.166666667,Snacks,Automated System Alert ,Lennox,Energence Ultra
wqea232651451,11-Jan-27,TECH1382,Emma Brown,34,4.5,12.323978,76.627961,12.353978,76.657961,Boiler Servicing,Medium Priority,Asset  type,Sandstorms,Jam ,Metropolitian ,2.333333333,Apparel,Compliance Audit ,Daikin,VRV IV
zhbv507383833,12-Jan-27,TECH1383,Vikram Singh,37,4.2,17.41233,78.449654,17.44233,78.479654,Refrigeration System Repair,High Priority,Air Conditioner,Windy,Low ,Metropolitian ,2.5,Sports,Routine Inspection,York,Affinity YXV
vlst254301121,13-Jan-27,TECH1384,Robert Taylor,36,4.8,26.913987,75.752891,26.943987,75.782891,HVAC Maintenance,Urgent Priority,Chiller Unit,Cloudy,Low ,Urban ,1.666666667,Books,Scheduled Maintenance ,Carrier,AquaEdge 23XR
kklz242189792,14-Jan-27,TECH1385,Lisa Nguyen,29,4.9,18.55144,73.804855,18.62144,73.874855,Electrical Repair,Low Priority,Heat Pump,Fog,Jam ,Metropolitian ,0.75,Grocery,Customer Complaint ,Trane,CenTraVac
xcpn200806737,15-Jan-27,TECH1386,Carlos Rivera,30,4.4,21.186438,72.794115,21.296438,72.904115,Plumbing Maintenance,Medium Priority,Ventilation System,Fog,Low ,Metropolitian ,2.916666667,Snacks,Automated System Alert ,Lennox,Energence Ultra
dxuq411671723,16-Jan-27,TECH1387,Emma Brown,32,5,22.308096,73.167753,22.378096,73.237753,Boiler Servicing,High Priority,Rooftop AC,Windy,Jam ,Metropolitian ,3.583333333,Cosmetics,Compliance Audit ,Daikin,VRV IV
dlxs382799710,17-Jan-27,TECH1388,Vikram Singh,21,4.8,18.539299,73.897902,18.609299,73.967902,Refrigeration System Repair,Urgent Priority,Asset  type,Stormy,Low ,Urban ,1.083333333,Electronics,Routine Inspection,York,Affinity YXV
ltpv954472394,18-Jan-27,TECH1389,Robert Taylor,24,4.2,12.979096,77.640625,13.109096,77.770625,HVAC Maintenance,Low Priority,Air Conditioner,Cloudy,Medium ,Metropolitian ,2.916666667,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
oitk739579230,19-Jan-27,TECH1390,Lisa Nguyen,28,4.9,22.744648,75.894377,22.824648,75.974377,Electrical Repair,Medium Priority,Chiller Unit,Sunny,Jam ,Metropolitian ,2.083333333,Cosmetics,Customer Complaint ,Trane,CenTraVac
pazq694586181,20-Jan-27,TECH1391,Carlos Rivera,39,4.9,0,0,0.11,0.11,Plumbing Maintenance,High Priority,Heat Pump,Stormy,Low ,Urban ,1.75,Kitchen,Automated System Alert ,Lennox,Energence Ultra
oisq612742703,21-Jan-27,TECH1392,Emma Brown,21,5,23.39925,85.390464,23.47925,85.470464,Boiler Servicing,Urgent Priority,Ventilation System,Sandstorms,Low ,Urban ,0.916666667,Apparel,Compliance Audit ,Daikin,VRV IV
wzvu432262336,22-Jan-27,TECH1393,Vikram Singh,24,4.8,21.175975,72.795503,21.305975,72.925503,Refrigeration System Repair,Low Priority,Rooftop AC,Fog,Medium ,Metropolitian ,3.083333333,Shoes,Routine Inspection,York,Affinity YXV
wper150449859,23-Jan-27,TECH1394,Robert Taylor,35,4.8,19.874103,75.368419,19.904103,75.398419,HVAC Maintenance,Medium Priority,Asset  type,Windy,Medium ,Metropolitian ,2.416666667,Jewelry,Scheduled Maintenance ,Carrier,AquaEdge 23XR
xzho220714716,24-Jan-27,TECH1395,Lisa Nguyen,25,4.5,22.577821,88.400581,22.657821,88.480581,Electrical Repair,High Priority,Air Conditioner,Sandstorms,Low ,Metropolitian ,1.666666667,Shoes,Customer Complaint ,Trane,CenTraVac
zrwp620728072,25-Jan-27,TECH1396,Carlos Rivera,20,5,26.911378,75.789034,26.981378,75.859034,Plumbing Maintenance,Urgent Priority,Chiller Unit,Sunny,Medium ,Metropolitian ,1.833333333,Pet Supplies,Automated System Alert ,Lennox,Energence Ultra
gyxw898561903,26-Jan-27,TECH1397,Emma Brown,23,4.7,12.310972,76.659264,12.380972,76.729264,Boiler Servicing,Low Priority,Heat Pump,Cloudy,Jam ,Metropolitian ,2.583333333,Sports,Compliance Audit ,Daikin,VRV IV
ecem060800309,27-Jan-27,TECH1398,Vikram Singh,28,4.7,12.337978,76.616792,12.447978,76.726792,Refrigeration System Repair,Medium Priority,Ventilation System,Fog,Low ,Metropolitian ,2.083333333,Cosmetics,Routine Inspection,York,Affinity YXV
